gene_id,chrom,pos,gene_name
ENSG00000284740.1,chr1,1506351,AL645728.2
ENSG00000197785.14,chr1,1523424,ATAD3A
ENSG00000205090.9,chr1,1537701,TMEM240
ENSG00000160075.12,chr1,1558268,SSU72
ENSG00000215014.5,chr1,1575588,AL645728.1
ENSG00000274481.1,chr1,1583710,AL691432.3
ENSG00000228594.4,chr1,1599074,FNDC10
ENSG00000286989.1,chr1,1601508,AL691432.4
ENSG00000272106.1,chr1,1614776,AL691432.2
ENSG00000197530.12,chr1,1623012,MIB2
ENSG00000189409.14,chr1,1633713,MMP23B
ENSG00000248333.9,chr1,1647118,CDK11B
ENSG00000272004.1,chr1,1660964,FO704657.1
ENSG00000269737.2,chr1,1673194,AL691432.1
ENSG00000189339.12,chr1,1676162,SLC35E2B
ENSG00000215914.4,chr1,1700862,MMP23A
ENSG00000008128.23,chr1,1713368,CDK11A
ENSG00000268575.1,chr1,1720212,AL031282.2
ENSG00000227775.3,chr1,1730882,AL031282.1
ENSG00000215790.8,chr1,1735415,SLC35E2A
ENSG00000008130.15,chr1,1765844,NADK
ENSG00000078369.18,chr1,1838201,GNB1
ENSG00000231050.1,chr1,1892064,AL109917.1
ENSG00000169885.10,chr1,1916202,CALML6
ENSG00000178821.13,chr1,1918434,TMEM52
ENSG00000142609.18,chr1,1962894,CFAP74
ENSG00000233542.2,chr1,2014426,AL391845.2
ENSG00000187730.9,chr1,2025044,GABRD
ENSG00000226969.1,chr1,2049636,AL391845.1
ENSG00000067606.17,chr1,2117903,PRKCZ
ENSG00000271806.1,chr1,2143182,AL590822.2
ENSG00000182873.5,chr1,2183092,PRKCZ-AS1
ENSG00000162585.17,chr1,2198590,FAAP20
ENSG00000234396.3,chr1,2216630,AL590822.1
ENSG00000157933.10,chr1,2269266,SKI
ENSG00000287356.1,chr1,2319062,AL590822.3
ENSG00000272161.1,chr1,2326447,AL589739.1
ENSG00000269896.2,chr1,2351617,AL513477.1
ENSG00000116151.14,chr1,2356480,MORN1
ENSG00000272420.1,chr1,2363344,AL513477.2
ENSG00000157916.20,chr1,2398608,RER1
ENSG00000157911.11,chr1,2408880,PEX10
ENSG00000149527.18,chr1,2465756,PLCH2
ENSG00000224387.1,chr1,2492779,AL139246.1
ENSG00000229393.1,chr1,2493958,AL139246.4
ENSG00000157881.16,chr1,2517567,PANK4
ENSG00000197921.6,chr1,2529504,HES5
ENSG00000272449.2,chr1,2538762,AL139246.5
ENSG00000238164.6,chr1,2553476,TNFRSF14-AS1
ENSG00000157873.18,chr1,2560510,TNFRSF14
ENSG00000225931.3,chr1,2568149,AL139246.2
ENSG00000228037.1,chr1,2583046,AL139246.3
ENSG00000157870.17,chr1,2588980,PRXL2B
ENSG00000142606.16,chr1,2611828,MMEL1
ENSG00000237058.1,chr1,2634594,MMEL1-AS1
ENSG00000215912.12,chr1,2718846,TTC34
ENSG00000283259.1,chr1,2775038,AC242022.1
ENSG00000285945.1,chr1,2776412,AC242022.2
ENSG00000233234.1,chr1,2812271,AL592464.2
ENSG00000231630.1,chr1,2814715,AL592464.1
ENSG00000287396.1,chr1,2815912,AL592464.3
ENSG00000284745.1,chr1,2964682,AL589702.1
ENSG00000169717.7,chr1,3022185,ACTRT2
ENSG00000177133.11,chr1,3064026,PRDM16-DT
ENSG00000283572.1,chr1,3128005,MIR4251
ENSG00000226286.1,chr1,3133318,AL008733.1
ENSG00000279839.1,chr1,3207326,AL512383.1
ENSG00000142611.17,chr1,3253894,PRDM16
ENSG00000272235.1,chr1,3308366,AL590438.1
ENSG00000287828.1,chr1,3318100,AL354743.2
ENSG00000286518.1,chr1,3370872,AL354743.1
ENSG00000130762.15,chr1,3467889,ARHGEF16
ENSG00000272088.1,chr1,3487436,AL512413.1
ENSG00000162591.16,chr1,3549730,MEGF6
ENSG00000207776.1,chr1,3560742,MIR551A
ENSG00000238260.1,chr1,3623966,AL513320.1
ENSG00000158109.15,chr1,3627571,TPRG1L
ENSG00000116213.16,chr1,3641764,WRAP73
ENSG00000227589.1,chr1,3663855,TP73-AS3
ENSG00000078900.15,chr1,3694358,TP73
ENSG00000235131.1,chr1,3713249,TP73-AS2
ENSG00000276189.1,chr1,3737023,AL136528.1
ENSG00000227372.12,chr1,3741442,TP73-AS1
ENSG00000162592.10,chr1,3759052,CCDC27
ENSG00000235169.11,chr1,3774366,SMIM1
ENSG00000266075.2,chr1,3782963,RN7SL574P
ENSG00000272153.1,chr1,3785273,AL365330.1
ENSG00000130764.10,chr1,3787528,LRRC47
ENSG00000116198.14,chr1,3834741,CEP104
ENSG00000169598.17,chr1,3871348,DFFB
ENSG00000198912.12,chr1,3894709,C1orf174
ENSG00000236423.6,chr1,3908788,LINC01134
ENSG00000226374.3,chr1,3946786,LINC01345
ENSG00000233304.7,chr1,3947874,LINC01346
ENSG00000284668.2,chr1,3994418,LINC02780
ENSG00000284703.1,chr1,4016214,AL805961.1
ENSG00000229280.1,chr1,4175714,EEF1DP6
ENSG00000235054.4,chr1,4418358,LINC01777
ENSG00000284694.1,chr1,4481753,AL355602.1
ENSG00000227169.2,chr1,4551940,Z98747.1
ENSG00000232596.3,chr1,4582748,LINC01646
ENSG00000196581.11,chr1,4723572,AJAP1
ENSG00000287586.1,chr1,4732602,Z98886.1
ENSG00000284739.1,chr1,4968626,BX005132.1
ENSG00000284674.1,chr1,4977474,LINC02781
ENSG00000231510.1,chr1,5088679,LINC02782
ENSG00000284616.1,chr1,5304661,AL139823.1
ENSG00000284666.1,chr1,5481408,Z98259.2
ENSG00000284692.2,chr1,5485896,Z98259.3
ENSG00000260972.1,chr1,5493826,Z98259.1
ENSG00000283356.1,chr1,5554814,Z97988.2
ENSG00000264341.1,chr1,5564107,Z97988.1
ENSG00000236948.2,chr1,5615002,AL365255.1
ENSG00000264101.1,chr1,5862706,MIR4689
ENSG00000131697.18,chr1,5927642,NPHP4
ENSG00000069424.15,chr1,6046060,KCNAB2
ENSG00000116254.18,chr1,6141054,CHD5
ENSG00000285629.1,chr1,6178594,AL031847.1
ENSG00000116251.11,chr1,6197204,RPL22
ENSG00000226944.1,chr1,6205310,RNF207-AS1
ENSG00000158286.13,chr1,6213387,RNF207
ENSG00000116237.16,chr1,6228582,ICMT
ENSG00000225077.3,chr1,6237068,LINC00337
ENSG00000173673.8,chr1,6244878,HES3
ENSG00000158292.7,chr1,6254226,GPR153
ENSG00000097021.20,chr1,6329018,ACOT7
ENSG00000271746.1,chr1,6393973,AL031848.2
ENSG00000069812.11,chr1,6418544,HES2
ENSG00000265392.1,chr1,6429865,MIR4252
ENSG00000187017.17,chr1,6443072,ESPN
ENSG00000231868.1,chr1,6445020,AL031848.1
ENSG00000215788.11,chr1,6463480,TNFRSF25
ENSG00000171680.23,chr1,6493598,PLEKHG5
ENSG00000162408.11,chr1,6537930,NOL9
ENSG00000253022.1,chr1,6540909,RNU6-731P
ENSG00000229519.2,chr1,6548262,AL591866.1
ENSG00000173662.21,chr1,6567531,TAS1R1
ENSG00000204859.13,chr1,6584637,ZBTB48
ENSG00000162413.16,chr1,6602666,KLHL21
ENSG00000116273.6,chr1,6618880,PHF13
ENSG00000041988.15,chr1,6630226,THAP3
ENSG00000007923.16,chr1,6668046,DNAJC11
ENSG00000228750.7,chr1,6727324,LINC01672
ENSG00000284744.1,chr1,6768996,AL591163.1
ENSG00000237436.1,chr1,6784368,CAMTA1-DT
ENSG00000227950.1,chr1,6834476,AL590128.1
ENSG00000237365.1,chr1,7011328,AL512330.1
ENSG00000207056.1,chr1,7219442,RNU1-8P
ENSG00000171735.19,chr1,7277580,CAMTA1
ENSG00000237402.1,chr1,7369606,CAMTA1-IT1
ENSG00000237728.2,chr1,7386120,CAMTA1-AS2
ENSG00000225126.1,chr1,7441325,CAMTA1-AS1
ENSG00000270171.1,chr1,7693984,AL359881.3
ENSG00000270035.1,chr1,7698588,AL359881.2
ENSG00000269978.1,chr1,7700837,AL359881.1
ENSG00000049245.13,chr1,7776364,VAMP3
ENSG00000269925.1,chr1,7776579,Z98884.2
ENSG00000049246.14,chr1,7814748,PER3
ENSG00000236266.1,chr1,7818792,Z98884.1
ENSG00000049247.14,chr1,7848298,UTS2
ENSG00000049249.9,chr1,7929518,TNFRSF9
ENSG00000270330.1,chr1,7942549,AL009183.1
ENSG00000116288.13,chr1,7969898,PARK7
ENSG00000200344.1,chr1,7982932,Y_RNA
ENSG00000284747.1,chr1,7998223,AL034417.4
ENSG00000284716.1,chr1,7999060,AL034417.3
ENSG00000116285.13,chr1,8015356,ERRFI1
ENSG00000232848.1,chr1,8057854,AL034417.1
ENSG00000238290.1,chr1,8074720,AL034417.2
ENSG00000229305.1,chr1,8191297,AL358876.1
ENSG00000200975.1,chr1,8206516,RNU1-7P
ENSG00000227634.3,chr1,8208364,LINC01714
ENSG00000233645.1,chr1,8219360,AL358876.2
ENSG00000251977.1,chr1,8292210,RNU6-991P
ENSG00000252254.1,chr1,8328123,Y_RNA
ENSG00000162426.16,chr1,8331140,SLC45A1
ENSG00000232912.6,chr1,8429829,RERE-AS1
ENSG00000221083.1,chr1,8511857,AL096855.1
ENSG00000270282.1,chr1,8512837,AL096855.2
ENSG00000142599.19,chr1,8600659,RERE
ENSG00000234619.1,chr1,8750758,RPL7P11
ENSG00000224315.2,chr1,8786562,RPL7P7
ENSG00000222511.2,chr1,8796622,Y_RNA
ENSG00000226545.1,chr1,8798990,AL357552.1
ENSG00000228423.2,chr1,8806456,AL357552.2
ENSG00000229716.2,chr1,8831191,RPL23AP19
ENSG00000274258.1,chr1,8866546,MIR6728
ENSG00000074800.16,chr1,8870095,ENO1
ENSG00000230679.1,chr1,8879364,ENO1-AS1
ENSG00000201725.1,chr1,8883480,RNU6-304P
ENSG00000238249.2,chr1,8893780,HMGN2P17
ENSG00000232208.2,chr1,8907568,AL139415.1
ENSG00000232663.2,chr1,8909823,AL139415.2
ENSG00000131686.15,chr1,8960480,CA6
ENSG00000265141.2,chr1,8979725,RN7SL451P
ENSG00000197241.3,chr1,9014822,SLC2A7
ENSG00000142583.18,chr1,9061792,SLC2A5
ENSG00000252404.1,chr1,9082788,AL158048.1
ENSG00000180758.12,chr1,9114704,GPR157
ENSG00000284357.1,chr1,9151722,MIR34A
ENSG00000228526.7,chr1,9173458,MIR34AHG
ENSG00000234546.4,chr1,9189144,LNCTAM34A
ENSG00000049239.13,chr1,9253056,H6PD
ENSG00000171621.14,chr1,9331213,SPSB1
ENSG00000284652.1,chr1,9421980,BX323043.1
ENSG00000284693.1,chr1,9432829,LINC02606
ENSG00000252956.1,chr1,9437724,RNA5SP40
ENSG00000235263.1,chr1,9502282,AL928921.1
ENSG00000171612.7,chr1,9562319,SLC25A33
ENSG00000231181.1,chr1,9576706,AL954705.1
ENSG00000188807.13,chr1,9601894,TMEM201
ENSG00000179840.5,chr1,9653598,PIK3CD-AS1
ENSG00000233268.3,chr1,9661727,AL691449.1
ENSG00000231789.2,chr1,9679990,PIK3CD-AS2
ENSG00000171608.16,chr1,9690422,PIK3CD
ENSG00000171603.18,chr1,9776455,CLSTN1
ENSG00000271264.1,chr1,9781031,MZT1P1
ENSG00000280113.2,chr1,9827280,AL357140.3
ENSG00000223989.1,chr1,9849236,AL357140.1
ENSG00000178585.15,chr1,9879306,CTNNBIP1
ENSG00000285701.1,chr1,9904324,AL357140.4
ENSG00000162441.12,chr1,9932760,LZIC
ENSG00000228150.1,chr1,9946448,AL357140.2
ENSG00000202415.1,chr1,9947477,RN7SKP269
ENSG00000283611.2,chr1,9955680,TMEM274P
ENSG00000173614.14,chr1,9964464,NMNAT1
ENSG00000265521.1,chr1,9967420,MIR5697
ENSG00000241326.1,chr1,9983854,AL603962.1
ENSG00000162444.12,chr1,10006614,RBP7
ENSG00000224340.1,chr1,10054613,AL590639.1
ENSG00000233623.2,chr1,10059160,PGAM1P11
ENSG00000130939.20,chr1,10107036,UBE4B
ENSG00000201746.1,chr1,10163321,RNU6-828P
ENSG00000264881.1,chr1,10227760,AL358013.1
ENSG00000054523.18,chr1,10296086,KIF1B
ENSG00000199562.1,chr1,10299019,RNU6-37P
ENSG00000264501.2,chr1,10306611,RN7SL731P
ENSG00000284735.1,chr1,10384528,AL139424.3
ENSG00000284642.1,chr1,10396424,AL139424.2
ENSG00000142657.21,chr1,10409552,PGD
ENSG00000271989.1,chr1,10430279,AL139424.1
ENSG00000175279.22,chr1,10436620,CENPS
ENSG00000251503.8,chr1,10441128,CENPS-CORT
ENSG00000241563.4,chr1,10451014,CORT
ENSG00000203469.2,chr1,10458946,AL354956.1
ENSG00000160049.12,chr1,10464526,DFFA
ENSG00000142655.13,chr1,10551523,PEX14
ENSG00000287727.1,chr1,10614337,AL139423.2
ENSG00000243267.3,chr1,10616976,RN7SL614P
ENSG00000272078.1,chr1,10646787,AL139423.1
ENSG00000130940.15,chr1,10716627,CASZ1
ENSG00000225158.2,chr1,10895880,HSPE1P24
ENSG00000175262.14,chr1,10964254,C1orf127
ENSG00000215785.2,chr1,10991388,CFL1P6
ENSG00000120948.19,chr1,11021436,TARDBP
ENSG00000009724.17,chr1,11036881,MASP2
ENSG00000116649.10,chr1,11057302,SRM
ENSG00000226849.1,chr1,11070784,AL109811.1
ENSG00000171824.14,chr1,11083244,EXOSC10
ENSG00000230337.1,chr1,11100888,EXOSC10-AS1
ENSG00000225602.5,chr1,11146718,MTOR-AS1
ENSG00000253086.1,chr1,11152401,RNU6-537P
ENSG00000198793.13,chr1,11184543,MTOR
ENSG00000171819.5,chr1,11192668,ANGPTL7
ENSG00000207451.1,chr1,11226307,RNU6-291P
ENSG00000238173.1,chr1,11233038,RPL39P6
ENSG00000238199.1,chr1,11278984,UBE2V2P3
ENSG00000120942.14,chr1,11284624,UBIAD1
ENSG00000284646.1,chr1,11315414,AL031291.1
ENSG00000224338.2,chr1,11425539,MTCYBP45
ENSG00000285833.1,chr1,11501410,AL590989.1
ENSG00000204624.8,chr1,11508353,DISP3
ENSG00000235643.2,chr1,11611413,LINC01647
ENSG00000284708.1,chr1,11633487,AL031731.1
ENSG00000116661.11,chr1,11646402,FBXO2
ENSG00000132879.14,chr1,11658851,FBXO44
ENSG00000116663.11,chr1,11669277,FBXO6
ENSG00000116670.15,chr1,11683065,MAD2L2
ENSG00000162490.7,chr1,11708784,DRAXIN
ENSG00000177674.16,chr1,11745443,AGTRAP
ENSG00000215910.7,chr1,11775686,C1orf167
ENSG00000177553.6,chr1,11778348,C1orf167-AS1
ENSG00000177000.13,chr1,11796089,MTHFR
ENSG00000011021.23,chr1,11827088,CLCN6
ENSG00000276470.1,chr1,11843898,AL021155.2
ENSG00000278852.1,chr1,11845623,AL021155.3
ENSG00000175206.10,chr1,11847027,NPPA
ENSG00000275915.1,chr1,11847496,AL021155.1
ENSG00000120937.9,chr1,11858204,NPPB
ENSG00000224904.1,chr1,11879088,SBF1P2
ENSG00000199347.1,chr1,11908212,RNU5E-1
ENSG00000201801.1,chr1,11909868,RNU5E-4P
ENSG00000285646.2,chr1,11911119,AL021155.4
ENSG00000116685.16,chr1,11923010,KIAA2013
ENSG00000083444.17,chr1,11954872,PLOD1
ENSG00000287384.1,chr1,11979830,AL096840.2
ENSG00000116688.18,chr1,11997696,MFN2
ENSG00000270914.1,chr1,12017262,AL096840.1
ENSG00000202461.1,chr1,12024068,Y_RNA
ENSG00000116691.11,chr1,12025756,MIIP
ENSG00000276869.1,chr1,12029190,MIR6729
ENSG00000243539.3,chr1,12036877,RN7SL649P
ENSG00000201135.1,chr1,12077932,RNU6-777P
ENSG00000227875.2,chr1,12080420,RPL23AP89
ENSG00000285604.1,chr1,12090352,AL357835.1
ENSG00000120949.15,chr1,12103755,TNFRSF8
ENSG00000283789.1,chr1,12166990,MIR7846
ENSG00000028137.19,chr1,12188110,TNFRSF1B
ENSG00000263676.1,chr1,12191743,MIR4632
ENSG00000225196.2,chr1,12220952,RPL10P17
ENSG00000252969.1,chr1,12221210,SNORA70
ENSG00000048707.15,chr1,12371038,VPS13D
ENSG00000239149.1,chr1,12507322,SNORA59A
ENSG00000229484.1,chr1,12528072,LINC02766
ENSG00000221340.1,chr1,12570022,RNU6ATAC18P
ENSG00000276830.1,chr1,12578990,MIR6730
ENSG00000162496.9,chr1,12593060,DHRS3
ENSG00000272482.1,chr1,12619072,AC254633.1
ENSG00000204518.3,chr1,12655580,AADACL4
ENSG00000226166.2,chr1,12692964,AC244670.1
ENSG00000188984.12,chr1,12722435,AADACL3
ENSG00000157330.10,chr1,12754950,C1orf158
ENSG00000116726.5,chr1,12775822,PRAMEF12
ENSG00000116721.9,chr1,12794012,PRAMEF1
ENSG00000228338.1,chr1,12822922,LINC01784
ENSG00000239810.3,chr1,12828008,PRAMEF11
ENSG00000231103.2,chr1,12839741,PRAMEF30P
ENSG00000179172.10,chr1,12848048,HNRNPCL1
ENSG00000120952.4,chr1,12859498,PRAMEF2
ENSG00000243073.4,chr1,12882706,PRAMEF4
ENSG00000187545.5,chr1,12895583,PRAMEF10
ENSG00000204510.5,chr1,12918546,PRAMEF7
ENSG00000207434.1,chr1,12922607,RNU6-1072P
ENSG00000234064.1,chr1,12927208,PRAMEF29P
ENSG00000232423.6,chr1,12943026,PRAMEF6
ENSG00000274178.2,chr1,13030734,PRAMEF28P
ENSG00000274764.6,chr1,13053026,PRAMEF27
ENSG00000277058.3,chr1,13061824,HNRNPCL3
ENSG00000229571.7,chr1,13073280,PRAMEF25
ENSG00000277862.1,chr1,13096575,PRAMEF34P
ENSG00000236179.1,chr1,13105046,PRAMEF35P
ENSG00000275774.3,chr1,13116171,HNRNPCL2
ENSG00000229978.1,chr1,13130216,PRAMEF36P
ENSG00000233336.1,chr1,13147220,AC245056.1
ENSG00000280267.4,chr1,13152433,PRAMEF26
ENSG00000179412.11,chr1,13164772,HNRNPCL4
ENSG00000204505.5,chr1,13175654,PRAMEF9
ENSG00000279169.3,chr1,13198798,PRAMEF13
ENSG00000279804.2,chr1,13224406,PRAMEF18
ENSG00000250894.1,chr1,13247258,PRAMEF31P
ENSG00000270601.4,chr1,13258763,PRAMEF5
ENSG00000231219.1,chr1,13274583,PRAMEF32P
ENSG00000207511.1,chr1,13279178,RNU6-771P
ENSG00000182330.10,chr1,13283104,PRAMEF8
ENSG00000237700.2,chr1,13306223,PRAMEF33
ENSG00000204501.7,chr1,13319090,PRAMEF15
ENSG00000228229.2,chr1,13324278,AC243961.1
ENSG00000204481.8,chr1,13344513,PRAMEF14
ENSG00000204480.8,chr1,13370484,PRAMEF19
ENSG00000204479.4,chr1,13391130,PRAMEF17
ENSG00000204478.10,chr1,13418840,PRAMEF20
ENSG00000162494.6,chr1,13494488,LRRC38
ENSG00000259961.1,chr1,13514745,AL354712.1
ENSG00000215909.3,chr1,13555348,BRWD1P1
ENSG00000162493.17,chr1,13600711,PDPN
ENSG00000222952.1,chr1,13623234,RNA5SP41
ENSG00000237445.2,chr1,13658610,AL359771.1
ENSG00000253085.1,chr1,13696134,AL359771.2
ENSG00000116731.22,chr1,13762638,PRDM2
ENSG00000252151.1,chr1,14124284,RNU6-1265P
ENSG00000231606.2,chr1,14263166,AL357873.1
ENSG00000234593.3,chr1,14379399,KAZN-AS1
ENSG00000189337.17,chr1,14505418,KAZN
ENSG00000235829.1,chr1,14692371,TBCAP2
ENSG00000287756.1,chr1,14776098,AL031293.1
ENSG00000175147.13,chr1,15132716,TMEM51-AS1
ENSG00000204464.7,chr1,15167830,C1orf195
ENSG00000171729.14,chr1,15186505,TMEM51
ENSG00000215720.4,chr1,15192336,MFFP1
ENSG00000278480.1,chr1,15226961,ZBTB2P1
ENSG00000142621.19,chr1,15323778,FHAD1
ENSG00000236045.1,chr1,15334815,AL031283.2
ENSG00000233485.1,chr1,15335278,FHAD1-AS1
ENSG00000228140.2,chr1,15406206,AL031283.1
ENSG00000142634.13,chr1,15420114,EFHD2
ENSG00000162438.12,chr1,15443842,CTRC
ENSG00000142615.8,chr1,15464410,CELA2A
ENSG00000215704.10,chr1,15478652,CELA2B
ENSG00000132906.18,chr1,15508683,CASP9
ENSG00000251866.1,chr1,15542234,SCARNA21B
ENSG00000116138.13,chr1,15559596,DNAJC16
ENSG00000272510.1,chr1,15565784,AL121992.3
ENSG00000116771.6,chr1,15578375,AGMAT
ENSG00000237301.1,chr1,15594881,AL121992.1
ENSG00000235084.3,chr1,15604820,CHCHD2P6
ENSG00000252417.1,chr1,15608112,RNU7-179P
ENSG00000236500.1,chr1,15614755,CD24P1
ENSG00000197312.12,chr1,15643251,DDI2
ENSG00000215695.1,chr1,15660796,RSC1A1
ENSG00000271742.1,chr1,15683000,AL121992.2
ENSG00000116786.13,chr1,15709544,PLEKHM2
ENSG00000237938.5,chr1,15728604,AL450998.2
ENSG00000162461.8,chr1,15738825,SLC25A34
ENSG00000224459.1,chr1,15744974,SLC25A34-AS1
ENSG00000162460.7,chr1,15745240,TMEM82
ENSG00000162458.13,chr1,15771600,FBLIM1
ENSG00000224321.1,chr1,15793040,RPL12P14
ENSG00000233954.6,chr1,15808258,UQCRHL
ENSG00000178715.8,chr1,15828450,AL450998.1
ENSG00000179743.4,chr1,15841310,FLJ37453
ENSG00000065526.12,chr1,15888276,SPEN
ENSG00000270620.1,chr1,15917803,AL034555.1
ENSG00000116809.12,chr1,15959000,ZBTB17
ENSG00000234607.2,chr1,15969913,AL355994.4
ENSG00000231353.1,chr1,15988312,AL355994.1
ENSG00000275503.1,chr1,15989258,AL355994.5
ENSG00000224966.4,chr1,15992311,TBC1D3P6
ENSG00000233078.1,chr1,16006416,AL355994.3
ENSG00000183888.4,chr1,16006522,SRARP
ENSG00000173641.18,chr1,16016811,HSPB7
ENSG00000186510.12,chr1,16026462,CLCNKA
ENSG00000232456.1,chr1,16037604,AL355994.2
ENSG00000184908.18,chr1,16050522,CLCNKB
